OCN;Org Name;CN;Cert
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/1a8d52ac-b951-4a58-8587-ebcc5eab35b2.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/1e075660-2221-4b54-bcbf-bb89102120a0.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/221b13b1-f788-4a9f-8b94-8a98171333b9.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/24052a02-8aee-4d2a-9756-33ccced9851d.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/32780845-7305-4c38-b97b-e613e8cfb314.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/3a8d6f05-a96c-4ea6-a80a-0d892c2bdeae.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/3dfea335-0ada-462c-956b-2a5a65a1c133.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/453daca8-35d9-42ba-9b80-4adf22266c41.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/46330114-1c23-4d81-85c1-c74f8a443aec.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/6923f39a-d006-406c-97de-96d86be10e82.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/6e165a5a-5b86-4858-8c59-6679f81ecd53.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/6e5c0981-392f-46ee-a846-3d6f4110daac.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/70ac811c-8cf3-470c-90a4-96a58ac6d862.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/8954d7d3-c08b-473c-bdca-8dc0f13138da.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/90264a05-f132-45dc-9e93-26718774e9c4.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/91e6619b-d2e5-4d66-b451-0a064b2c418b.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/93b74f38-b0d3-4785-8c90-18101ac2cb8a.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/9612b365-49c4-4724-9af8-bc40a4ebbdfd.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/aa78138c-09eb-4cb9-8f3e-e2df9ca61c97.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/acfcc810-fd84-439a-b316-2edb38fdc1fd.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/b851c928-45de-4943-9833-b4ee0c47ca32.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/b9638b6c-0d32-401c-92a2-3a5d1bad6fde.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/bbffbe3d-9d60-472b-bf47-1b7cf52afb69.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/bf720d86-b816-4ec2-bab0-37620c2a99d1.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/c959d407-cb86-4348-bcf5-6e6a48719aa5.cer
318J;Comcast;SHAKEN;https://sticr.stir.comcast.com/e302e3d1-8de4-4c0c-abcb-52813f3b7f2c.cer
7610;Comcast;SHAKEN;https://sticr.stir.comcast.com/6b5b4beb-a922-4a38-b864-6c4f29afdc96.cer
7610;Comcast;SHAKEN;https://sticr.stir.comcast.com/b7195f5e-c8e2-4666-a72b-3601756ab84a.cer
7610;Comcast;SHAKEN;https://sticr.stir.comcast.com/c6ccb7a6-1259-46f1-8e7f-421276058b62.cer
7610;Comcast;SHAKEN;https://sticr.stir.comcast.com/cdcd3514-1781-4d4d-b322-e4e4d111d9bc.cer
7610;Comcast;SHAKEN;https://sticr.stir.comcast.com/de3c7224-4d92-42aa-ad87-29cf07b3e19c.cer
