OCN,Org Name,CN,Cert
"009G","Hawaiian Telcom","Hawaiian Telcom SHAKEN 009G","https://cdn-cr.cgah.tnsi.com/certs/e41b2df552e335b829a64d4d88a3bf63bb39b248"
"0344","Alma Tel","Alma Tel SHAKEN 0344","https://cdn-cr.cgah.tnsi.com/certs/50fce21c2814c12146d9f3e9420b586cd6c12566"
"0376","Pembroke Telephone Company, Inc","Pembroke Telephone Company, Inc SHAKEN Cert 0376","https://cdn-cr.cgah.tnsi.com/certs/54f1b46e13a9f05d1b3f49b6f71314b0b97cc086"
"0379","Plant Telephone Company","Plant Telephone Company SHAKEN 0379","https://cdn-cr.cgah.tnsi.com/certs/81f3a3da944c5778c3db724e7f2a7a58accbd30b"
"0418","South Central Rural Telephone","South Central Rural Telecommunications Coop SHAKEN Cert 0418","https://cdn-cr.cgah.tnsi.com/certs/448db51c0154c1b4aa55612c8779cede93963e92"
"0421","West Kentucky Rural Telephone Cooperative","West Kentucky Rural SHAKEN Cert 0421","https://cdn-cr.cgah.tnsi.com/certs/e8ac880da62a959a70d1886399c240bdd0a37078"
"0425","Fastwyre Broadband","Fastwyre Broadband SHAKEN Cert 0425","https://cdn-cr.cgah.tnsi.com/certs/4f2a4a764bced7e27a5c80067dd0410ddd1b9e02"
"0432","Kaplan Telephone","Kaplan Telephone SHAKEN cert 0432","https://cdn-cr.cgah.tnsi.com/certs/c57d0a622b6d80dae91a7391b608bcf4c3d88f74"
"0553","Ben Lomand Rural Telephone COOP Inc","Ben Lomand SHAKEN Cert 0553","https://cdn-cr.cgah.tnsi.com/certs/fe74899c830827a37cd701d031e0a7714e0604ab"
"0562","DTC Communications","DTC Communications SHAKEN Cert 0562","https://cdn-cr.cgah.tnsi.com/certs/e5db82c70d06ef1ac7577b261ae7f92b94871f9f"
"0565","Highland Telephone Cooperative","Highland Telephone Cooperative SHAKEN Cert 0565","https://cdn-cr.cgah.tnsi.com/certs/2ea4f70250c45d8d12df4852263f77d007152f19"
"0579","Twin Lakes","Twin Lakes SHAKEN Cert 0579","https://cdn-cr.cgah.tnsi.com/certs/230562ee4f78391a4f429776b840b730947bb2f6"
"095A","Ritter Communications","Ritter Communications SHAKEN cert 095A","https://cdn-cr.cgah.tnsi.com/certs/7721a7f2c31bb0f15ac5d46257b8c3bee1bbae6f"
"122D","Nex-Tech Wireless","Nex-Tech Wireless SHAKEN Cert 122D","https://cdn-cr.cgah.tnsi.com/certs/80d8452d00cdf3a5975cb2301a8dcaab3715ae57"
"127E","New Horizon","New Horizon SHAKEN 127E","https://cdn-cr.cgah.tnsi.com/certs/e7a4996270fb37885b8079d8ac50fa57f5db0fa1"
"1784","Segra","Segra SHAKEN Cert 1784","https://cdn-cr.cgah.tnsi.com/certs/cc9fae904b0b72958a4bbbcb4c068c738dd67f1c"
"1882","Fidelity Communications","Fidelity Communications SHAKEN Cert 1882","https://cdn-cr.cgah.tnsi.com/certs/514fb1f7a1891a792528e0cf023b424c55ddb2cd"
"2071","Five Area Telephone Cooperative","Five Area Telephone SHAKEN Cert 2071","https://cdn-cr.cgah.tnsi.com/certs/738466bb39439e11398346bd5b0156a486803683"
"2083","GVTC","GVTC SHAKEN Cert 2083","https://cdn-cr.cgah.tnsi.com/certs/90b8c01a8cc0c06e82b9517d599d24c14dbb859b"
"2159","Valley Telephone Cooperative Inc / VTX1","Valley Telephone Cooperative Inc / VTX1 SHAKEN 2159","https://cdn-cr.cgah.tnsi.com/certs/4cd5b91a833e4ccd9c7f4dabacdd26e85cddf71d"
"2188","Farmers Telecommunications Inc","Farmers Telecommunications Inc SHAKEN Cert 2188","https://cdn-cr.cgah.tnsi.com/certs/7cd1ca9605d897bf552d7470db39657b5b2c843b"
"2231","Project Mutual","Project Mutual SHAKEN Cert 2231","https://cdn-cr.cgah.tnsi.com/certs/d4e575ce3348a47b80616aae48c240808772df2d"
"2235","Blackfoot Communications","Blackfoot Communications SHAKEN Cert 2235","https://cdn-cr.cgah.tnsi.com/certs/73aa28faf4546c63b3b20c530d38004b43bbecd4"
"2255","3 Rivers Communications","3 Rivers Communications SHAKEN Cert 2255","https://cdn-cr.cgah.tnsi.com/certs/3f3c33b7470f849766844b4a9a3ccc61f15c944a"
"2296","Tri-County Telephone Association Inc","Tri-County Telephone Association Inc SHAKEN 2296","https://cdn-cr.cgah.tnsi.com/certs/fc814f27a21fdad908dbcc161b8410f3d229e371"
"2297","Union Telephone Company","Union Telephone Company SHAKEN 2297","https://cdn-cr.cgah.tnsi.com/certs/15af00a5f4965617a4b01a66dfa46df0c93f7da0"
"2452","Whidbey Telephone Company","Whidbey Telephone Company SHAKEN Cert 2452","https://cdn-cr.cgah.tnsi.com/certs/4b8c18a5a68450eb480b9727e86382fdaa4afa66"
"250A","Chariton Valley Communications Corporation","Chariton Valley SHAKEN 250A","https://cdn-cr.cgah.tnsi.com/certs/0ba2e829dff0ca7fef842872ab82485c69f76281"
"2891","Aeneas Communications ","Aeneas Communications SHAKEN Cert 2891","https://cdn-cr.cgah.tnsi.com/certs/25d9b4b15a9c7d0d8358bd9eb307a6ebbd8b7d00"
"308H","Crosstel Tandem Inc Holston","Crosstel Tandem Inc Holston Shaken Cert 308H ","https://cdn-cr.cgah.tnsi.com/certs/2411390577fae283ff16682fc3c75cb0597b918e"
"357H","Crosstel Tandem Inc SEPB","Crosstel Tandem Inc SEPB SHAKEN Cert 357H","https://cdn-cr.cgah.tnsi.com/certs/15812c8f761ade70a623766b81fb851b88f684b3"
"4130","Allstream Business US, LLC","Allstream SHAKEN 4130","https://cert-stir-us.allstream.com/certs/allstreamcertchain.crt"
"433E","Sonic","Sonic Telecom SHAKEN 433E","https://crs.qcall.sonic.net/certs/Sonic2024certchain.crt"
"4645","Electric Power Board of Chattanooga dba EPB Telecom","EPB Telecom SHAKEN Cert 4645","https://cdn-cr.cgah.tnsi.com/certs/245819f978821d3e211a6956b9e0d09fd3fed483"
"472C","Everstream","Everstream SHAKEN 472C","https://cdn-cr.cgah.tnsi.com/certs/b1bc161ddcafa35c5036dfe9b37e9b7bc16c5bcd"
"4913","Vexus Fiber","Vexus Fiber SHAKEN Cert 4913","https://cdn-cr.cgah.tnsi.com/certs/97be1f553890f85d8a8bf06683588ce5061742f3"
"521F","ENA","ENA SHAKEN 521F","https://cdn-cr.cgah.tnsi.com/certs/7aa8c4e2c803fd15d04bf92150cb33500ec60820"
"5807","Verizon Data Services LLC","Verizon SHAKEN cert 5807","https://sti.verizon.com/vzwcert/vzshaken-01-2027.crt"
"5932","Carolina West Wireless","Carolina West Wireless SHAKEN 5932","https://cdn-cr.cgah.tnsi.com/certs/2d6c7d95ae300fd6b02acec8bda8d6119ea390d8"
"600F","Altafiber","Altafiber SHAKEN Cert 600F","https://cdn-cr.cgah.tnsi.com/certs/5bf43a66fdefa14ec681ce439ba5f70dce880ac3"
"6349","USCC","USCellular SHAKEN Cert 6349","https://robocall.sti.uscellular.com/certs/uscellular2024certchain.crt"
"6581","Cellular South Licenses  DBA C Spire","Cellular South Licenses SHAKEN Cert 6581","https://cdn-cr.cgah.tnsi.com/certs/d1af372b9cdb3ceba1f85f4ec3657797b3eb1c7f"
"660C","Hunter Communications ","Hunter Communications SHAKEN 660C","https://cdn-cr.cgah.tnsi.com/certs/7ac98ce362be7e0d6650ea43e17a8320e956b66a"
"665E","WOW Internet Cable and Phone","WOW Internet Cable and Phone SHAKEN 665E","https://cdn-cr.cgah.tnsi.com/certs/27c187b748655ad5d9d3a570aefb8db66d57f3eb"
"6692","Northeast Communications of Wisconsin ","Northeast Communications of Wisconsin SHAKEN Cert 6692","https://cdn-cr.cgah.tnsi.com/certs/b169a4a9dbb9ca311b83e2c9b0c04f1bd80e00d3"
"6874","Viaero Wireless","Viaero Wireless SHAKEN 6874","https://cdn-cr.cgah.tnsi.com/certs/707a2acb3852ef80a0144461abbbf848dfe45b51"
"6940","Appalachian Wireless","Appalachian Wireless SHAKEN 6940","https://cdn-cr.cgah.tnsi.com/certs/1ad08815a367305dc038359652947c0e17ee05ba"
"7008","Consolidated Telcom ND","Consolidated Telcom ND SHAKEN Cert 7008","https://cdn-cr.cgah.tnsi.com/certs/1e9efaedff05b3fc118ca5c6c413a10ce0a84b98"
"742D","Avid Communication","Avid Communication SHAKEN Cert 742D","https://cdn-cr.cgah.tnsi.com/certs/1b0b321bad320b960a4f0fc8f2408d0daa110730"
"7453","U. S. Telepacific Corp","U. S. Telepacific Corp SHAKEN 7453","https://qcall.meta.tpx.net/certs/tpx2024certchain.crt"
"7556","Northland Networks","Northland Networks SHAKEN Cert 7556","https://cdn-cr.cgah.tnsi.com/certs/37febf7ba183fa2f44fa353cf7f32aa6e1135a94"
"7608","Buckeye ","Buckeye SHAKEN Cert 7608","https://cdn-cr.cgah.tnsi.com/certs/80ac3a7475bf118d59c0c864b846ca67cf17d5e9"
"7615","RCN","RCN SHAKEN Cert 7615","https://cdn-cr.cgah.tnsi.com/certs/a23201bf22dbf58314c267f8d2dc304ff278000d"
"7785","GCI","GCI SHAKEN Cert 7785","https://cdn-cr.cgah.tnsi.com/certs/f4b0a304bfb6f3db28f8eab0011a9c643d91849a"
"7804","TDS Telecom","TDS Telecom SHAKEN Cert 7804","https://cdn-cr.cgah.tnsi.com/certs/35db85c681cd72f18e564492a27fd418bc58be28"
"7857","Summit Broadband","Summit Broadband SHAKEN Cert 7857","https://cdn-cr.cgah.tnsi.com/certs/47c6d4e4af62db63cec43e632b0c057700d9704d"
"786E","Telesystem","Telesystem SHAKEN Cert  786E","https://cdn-cr.cgah.tnsi.com/certs/1119f8a66803e30896e315d1e9766b55ab10e7f9"
"846F","Mediacom Communications Corporation","Mediacom SHAKEN 846F","https://shaken.stir.mediacomcc.com/certs/mediacom2024certchain.crt"
"875F","CAS Cable","CAS Cable SHAKEN Cert 875F","https://cdn-cr.cgah.tnsi.com/certs/78696462dd41a95543996df2ba61d01c0d7274f9"
"8839","Eatel","Eatel SHAKEN Cert 8839","https://cdn-cr.cgah.tnsi.com/certs/3dc4ef07987f8fb0892c9b426513c57173ed8c3e"
"9262","Utility Telecom Group, LLC","Utility SHAKEN 9262","https://cdn-cr.cgah.tnsi.com/certs/163df7e9d1e2d91487cc2788653619a671bc9187"
"945H","Northeast Oklahoma Electric Cooperative, Inc","Northeast Oklahoma Electric Cooperative SHAKEN Cert 945H","https://cdn-cr.cgah.tnsi.com/certs/766ee42919612faa4f0d943be5a055664928eb77"
"956H","Encore Communications","Encore Communications SHAKEN Cert 956H","https://cdn-cr.cgah.tnsi.com/certs/7dd749ccd2d68458243cb752f8f94dc8d928d627"
"9809","Point Broadband Inc Bristol","Point Broadband Inc Bristol SHAKEN Cert 9809","https://cdn-cr.cgah.tnsi.com/certs/2aeba0ef7bc96ec8521d519c00854a8f850ddb3b"
"9915","Clearwave Communications","Clearwave SHAKEN 9915","https://cdn-cr.cgah.tnsi.com/certs/8c047baba4b6c6f319541b73856679bda03e801f"
