OCN,Org Name,CN,Cert
"005K","Primevox Communications","SHAKEN 005K","https://pvx1.s3.us-east-2.amazonaws.com/stirshaken/8448cc7eb8424d6ad5d2e6d71bcf6629.cer"
"023B","Big River Telephone Company","SHAKEN 023B","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11133.10171.pem"
"023K","Pulsar360 Corp","SHAKEN 023K","https://ecms.securetransit.net/certs/06517b2e2010ec1a2b429664047353b6.cer"
"0308","New Hope Telephone Cooperative Inc","SHAKEN 0308","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/240.376"
"030J","ANI Networks","SHAKEN 030J","https://certs.iverify-aninetworks.net/aninetworks_20250307.crt"
"030K","G12 Communications LLC","SHAKEN 030K","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/131.132"
"0347","Brantley Telephone Company Inc","SHAKEN 0347","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/181.237"
"0435","Northeast Louisiana Telephone Co Inc","SHAKEN 0435","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/217.304"
"0468","Atlantic Telephone Membership Corporation","SHAKEN 0468","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11278.10190.pem"
"049K","Dialpad Inc.","SHAKEN 049K","https://fst-20240529-3-dot-fstelephony.appspot.com/static/cert/shaken_identity_2024_1.cer"
"0523","Hargray Communications Group Inc","SHAKEN 0523","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/221.311"
"063E","Peerless Network","SHAKEN 063E","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11032.10214.pem"
"067K","Junction Networks Inc","SHAKEN 067K","https://stir-shaken.jnctn.net/onsip-stir-shaken.pem"
"0725","Sand Creek Telephone Company","SHAKEN 0725","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/226.334"
"0734","Waldron Telephone Company","SHAKEN 0734","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/224.332"
"074K","Coztel LLC","SHAKEN 074K","https://coztel.com/certificates/319aa14558f159d3c8c81427198aad03.cer"
"1050","Marseilles Telephone Company","SHAKEN 1050","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/239.358"
"113K","WebFones LLC","SHAKEN 113K","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/150.152"
"128K","textPlus Inc","SHAKEN 128K","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/156.170"
"139K","FaxLogic, LLC","SHAKEN 139K","https://cdn.pgxn.net/sti/20250522.cer"
"1442","Nuvera","SHAKEN 1442","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/27.197"
"1451","Paul Bunyan Communications","SHAKEN 1451","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/102.325"
"1501","West Central Telephone Association","SHAKEN 1501","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/65.310"
"1556","Hartington Telecommunications","SHAKEN 1556","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/281.467"
