OCN,Org Name,CN,Cert
"0175","Ironton Telephone","Ironton SHAKEN 1234 0175","https://prod001-prod011-cr.rbbnidhub.com/rOzx_GsVRz/0175-529f0eaf99604f407acaafd164cd7e9d"
"0408","Gearheart Communications","Gearheart SHAKEN 0408","https://prod001-prod011-cr.rbbnidhub.com/DUIDRwfVgz/10000-6fcc9648f6bec955b83d512a6d0830bb"
"0503","Surrytel","Surrytel STI SHAKEN 0503","https://prod001-prod011-cr.rbbnidhub.com/x9lB3qynRz/STI-202305-0503-1a01332c0243d06b0cb7d77293786255"
"087H","Empire Telephone","Empire SHAKEN 087H","https://prod001-prod011-cr.rbbnidhub.com/Wlp54ZO4gz/087HNOV2023-7a28b8ee6335f2abf0116dbac19be755"
"0974","Solarus","Solarus SHAKEN 0974","https://prod001-prod011-cr.rbbnidhub.com/z9Ih9bs4Rz/STI-0974-2023-1df96aa7006c73b0c4228c26728e82c7"
"1260","Long Lines Broadband","Longlines SHAKEN 1260","https://prod001-prod011-cr.rbbnidhub.com/qWFquhQ4gz/STI-202306-1260-37d5fc075821511b582497c396489b57"
"1525","ThreeriverTelco","ThreeriverTelco SHAKEN 1525","https://prod001-prod011-cr.rbbnidhub.com/0X3WXxsVRz/STI-202305-1525-5f4ab88c046b1cfd58ff229698fff463"
"1630","Polar Communications Mutual Aid Corporation","Polar SHAKEN 1630","https://prod001-prod011-cr.rbbnidhub.com/87rmTaP4gz/10000-5f466faa9cc3dae51dd87191dd1f78b4"
"1718","PGTelco","PGTelco SHAKEN 1718","https://prod001-prod011-cr.rbbnidhub.com/dglpr26GRz/10000-6e486e81a61b3067206cd1cc03b9f1d9"
"2059","Colorado Valley Communications","ColoradoValley SHAKEN 2059","https://prod001-prod011-cr.rbbnidhub.com/4R6YvcB4gz/STI-202303-2059-574780b87e516b53aa6a2bce87b791a6"
"2068","Eastex","Eastex SHAKEN 2068","https://prod001-prod011-cr.rbbnidhub.com/T0ezuXpngz/STI-2023-2068-3d0b382600afa29c04bd4fc3edfe2038"
"2086","Hill Country Telephone Cooperative","Ribbon SHAKEN 2086","https://prod001-prod011-cr.rbbnidhub.com/JQApas6MRz/10000-54a5c7395fcf8ebacb0d352d1d375852"
"2130","Peoples","Peoples SHAKEN 2130","https://prod001-prod011-cr.rbbnidhub.com/R3kZfzj7gz/STI-202306-2130-3e01a84e6a320c2e0d9baf5cbeb11f38"
"2257","Triangle","Triangle SHAKEN 2257","https://prod001-prod011-cr.rbbnidhub.com/fh2Fl4xVgz/10000-457e9bfe46560b334453a78b38eb7826"
"2339","Siskiyou Telephone Company","Siskiyou SHAKEN 2339","https://prod001-prod011-cr.rbbnidhub.com/3MCvDamnRz/Aug222023-6e684a540e092145d414fcce5decbbfd"
"3196","Etex","Etex STI SHAKEN 3196","https://prod001-prod011-cr.rbbnidhub.com/DdpJt757Rz/STI-202304-3196-17c4d8150bc3db2f710070278713bc57"
"5237","Haviland","Haviland SHAKEN 5237","https://prod001-prod011-cr.rbbnidhub.com/9f_1JJO7Rz/STI5237-684e51f5f56b220ae2d2a29a99fc377a"
"620J","Nuwave Communications","Nuwave Communications SHAKEN 620J","https://prod001-prod011-cr.rbbnidhub.com/Jx6yR-yMgz/620J202304-401f156c7342aa701f6e8bb3d26c0ecf"
"716D","Veracity Networks LLC","Veracity SHAKEN 716D","https://prod001-prod011-cr.rbbnidhub.com/VaMEsVjGRz/0-6f633bc2813830d744b6236fe4d3b741"
"8886","Netfortris","Netfortris SHAKEN 8886","https://prod001-prod011-cr.rbbnidhub.com/t0CiOIjnRz/NFJune072023-3a5cc337262fa27b6e6a3d8948fc365e"
