OCN,Org Name,CN,Cert
"073H","Telnyx LCC","SHAKEN 073H","https://certificates.transnexus.com/073H/5f8d3e24-1439-4b1d-984f-c9740289ba02.pem"
"193E","8x8 Inc","SHAKEN 193E","https://certificates.transnexus.com/193E/45be10f9-e486-4250-89f5-45f1b558765d.pem"
"2720","Fusion Connect","SHAKEN 2720","https://prod001-cr.rbbnidhub.com/8ZJdVFg7gz/1"
"299K","Weave","SHAKEN 299K","https://certificates.transnexus.com/299K/f00781dd-8bbb-4b7b-9d94-81e1db293eb5.pem"
"366G","USA Digital","SHAKEN 366G","https://certificates.transnexus.com/366G/1e98a027-693b-4345-a032-2ab7d4b250e6.pem"
"4036","ATT","SHAKEN 4036","https://cert.sticr.att.net:8443/certs/att/f498a068-56c3-49ad-80bc-4d0bf6fb9dab"
"505J","HFA Services LLC dba Call48","SHAKEN 505J","https://certificates.transnexus.com/505J/94072198-d133-4784-b3f6-2272c08b00ae.pem"
"551G","Brightlink Communications LLC","SHAKEN 551G","https://certificates.transnexus.com/551G/91e13e95-3ed2-4e78-ab98-634bde44b08d.pem"
"577F","Ringsquared","SHAKEN 577F","https://certificates.transnexus.com/577F/08ba82a3-fe75-4ce0-b514-cffe1e8b927a.pem"
"578J","Call Tools Inc","SHAKEN 578J","https://certificates.transnexus.com/578J/44931891-9ebb-4da0-a2ec-214f5f003a15.pem"
"597J","Voxtelesys","SHAKEN 597J","https://certificates.transnexus.com/597J/c2dde6fb-8962-4343-a17d-2ee2a4e5dbe9.pem"
"622J","Skye Telecom LLC","SHAKEN 622J","https://certificates.transnexus.com/622J/0d4f37b3-5264-4c15-a620-7824845445e2.pem"
"6628","Merryville Investments LTD Inc dba ClarityTel","SHAKEN 6628","https://certificates.transnexus.com/6628/eae56241-c0c5-41a2-ae95-5e28cd46db05.pem"
"663J","CCI","SHAKEN 663J","https://certificates.transnexus.com/663J/0b2ad5b1-ec49-4b61-bebd-415b30f45db6.pem"
"706J","TCN","SHAKEN 706J","https://certificates.transnexus.com/706J/fdb13f3d-0f05-47c8-a047-af2f9e2f7af5.pem"
"736J","Masergy Communications","SHAKEN 736J","https://certificates.transnexus.com/736J/59dcb833-8e24-47d2-b375-02d506a67239.pem"
"807J","SipPhony LLC","SHAKEN 807J","https://certificates.transnexus.com/807J/41a456cc-4c76-40d2-ac63-4ff93d72a86d.pem"
"807J","SipPhony LLC","SHAKEN 807J","https://ssc.getsipnav.com/certs/986fbcaa0958b17ff61a30c6c909f645c9ccb766"
"815G","382 Communications","SHAKEN 815G","https://certificates.transnexus.com/815G/59c6f3e9-562d-43db-b952-5afe076e5b8b.pem"
"8526","MetTel","SHAKEN 8526","https://certificates.transnexus.com/8526/be6281a4-be9c-47d8-98fb-4371d09ddd53.pem"
"857J","IEvolve","SHAKEN 857J","https://certificates.transnexus.com/857J/be296a1b-44fc-487b-88a4-de0dcca64ede.pem"
"873J","MobileSphere","SHAKEN 873J","https://certificates.transnexus.com/873J/2bf97ab1-3231-4b99-af44-91c325276fe7.pem"
"952J","Syndeo LLC dba Broadvoice","SHAKEN 952J","https://certificates.transnexus.com/952J/04b8ae9f-8436-4899-9f39-f276e9224782.pem"
