Not After,OCN,Org Name,Cert
"02 Mar 24 17:51 UTC","963J","Neustar Information Services Inc","http://freevoiceusa.com/963J_23"
"02 Mar 24 14:59 UTC","8697","NetNumber Inc","https://bwt.io/8697a2.crt"
"09 Mar 24 20:50 UTC","6692","Northeast Communications of Wisconsin","https://cdn-cr.cgah.tnsi.com/certs/1a7ab760b70a56725786e626f157ba4512f909ec"
"09 Mar 24 20:40 UTC","4130","Allstream Business US, LLC","https://cert-stir-us.allstream.com/certs/allstreamcertchain.crt"
"13 Feb 24 20:59 UTC","674J","TransNexus, Inc.","https://certificates.clearip.com/0b98ecf4-0a43-4b89-8fc0-8e029d8258fa/af50595afd8c54e96efefcd5d4e574ec.pem"
"12 Feb 24 20:54 UTC","177K","TransNexus, Inc.","https://certificates.clearip.com/8d118994-4994-4735-ac71-42c0bbb7848f/01b8f8c1917620350b0e63808eb22557.pem"
"12 Feb 24 18:02 UTC","833J","TransNexus, Inc.","https://certificates.clearip.com/b6b24cc6-4f92-4a6b-a293-f52579c0d95a/6d5b188195f383bd1de001851213cf73.pem"
"13 Feb 24 21:17 UTC","459J","TransNexus, Inc.","https://certificates.clearip.com/d3d6dbfc-2914-49c7-8f47-d0aa5bd5d764/8cba95f39da4d999285f79bb3a848c08.pem"
"23 Feb 24 15:39 UTC","469K","Peeringhub Inc","https://certificates.peeringhub.io/469K/469K.crt"
"20 Feb 24 18:40 UTC","650K","Peeringhub Inc","https://certificates.peeringhub.io/650K/650K.crt"
"07 Mar 24 19:23 UTC","774K","Peeringhub Inc","https://certificates.peeringhub.io/774K/774K.crt"
"04 Mar 24 14:16 UTC","827K","Peeringhub Inc","https://certificates.peeringhub.io/827K/HtWCqJla/827K.crt"
"10 Mar 24 19:01 UTC","193E","TransNexus, Inc.","https://certificates.transnexus.com/193E/3448d3fb-1def-479e-be3e-f0300e81b240.pem"
"16 Feb 24 03:20 UTC","345J","TransNexus, Inc.","https://certificates.transnexus.com/345J/6094e6c2-a4e6-4a1f-8014-c6a7ae737b36.pem"
"26 Feb 24 05:53 UTC","345J","TransNexus, Inc.","https://certificates.transnexus.com/345J/d67e9c9b-1edd-49cf-a960-35a4b2c69158.pem"
"02 Mar 24 15:23 UTC","366G","TransNexus, Inc.","https://certificates.transnexus.com/366G/7e3330ce-8b17-4b7b-9e8e-21aa91ba572a.pem"
"22 Feb 24 17:52 UTC","551G","TransNexus, Inc.","https://certificates.transnexus.com/551G/bd0025e9-a84e-4c7e-95a6-c017c75cda5d.pem"
"26 Feb 24 21:02 UTC","577F","TransNexus, Inc.","https://certificates.transnexus.com/577F/0fb2f6dc-a694-4823-ae47-8a5b76e971fb.pem"
"23 Feb 24 17:53 UTC","722J","TransNexus, Inc.","https://certificates.transnexus.com/722J/109f1d0f-ceb1-4ce1-94c3-17c530f8bdbb.pem"
"15 Feb 24 15:15 UTC","738J","TransNexus, Inc.","https://certificates.transnexus.com/738J/b3f42ca6-4ff4-4407-9812-125eccdaf51f.pem"
"16 Feb 24 22:41 UTC","841J","TransNexus, Inc.","https://certificates.transnexus.com/841J/4cabdd5c-1ce4-43df-943b-b9d4480b2181.pem"
"29 Feb 24 20:44 UTC","952J","TransNexus, Inc.","https://certificates.transnexus.com/952J/817d1ddc-17b6-477a-80dc-a5301d0eabbf.pem"
"08 Mar 24 22:19 UTC","468B","Neustar Information Services Inc","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/117.115"
"02 Mar 24 19:30 UTC","966J","Neustar Information Services Inc","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/120.121"
"15 Feb 24 17:06 UTC","1591","Neustar Information Services Inc","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/199.263"
"16 Feb 24 22:05 UTC","8943","Neustar Information Services Inc","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/200.264"
"16 Feb 24 03:36 UTC","280K","Neustar Information Services Inc","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/207.271"
"07 Mar 24 22:03 UTC","1563","Neustar Information Services Inc","https://cr-partner.ccid.neustar.biz/ccid/authn/v2/certs/208.287"
"12 Mar 24 01:25 UTC","418c","Neustar Information Services Inc","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11112.10192.pem"
"27 Feb 24 15:34 UTC","7661","Neustar Information Services Inc","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11126.10191"
"14 Feb 24 13:24 UTC","886G","Neustar Information Services Inc","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11155.10177"
"17 Feb 24 15:12 UTC","7076","Neustar Information Services Inc","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11159.10178"
"12 Mar 24 14:58 UTC","683G","Neustar Information Services Inc","https://cr.ccid.neustar.biz/ccid/authn/v2/certs/11338.10182"
"06 Mar 24 14:14 UTC","012J","Sansay Corporation","https://cr.sansay.com/012J/429C7C70711E3820F0B8E1DEAE6FF326226490A7.pem"
"06 Mar 24 14:19 UTC","020K","Sansay Corporation","https://cr.sansay.com/020K/429C7C70711E3820F0B8E1DEAE6FF326226490AB.pem"
"06 Mar 24 14:21 UTC","187J","Sansay Corporation","https://cr.sansay.com/187J/429C7C70711E3820F0B8E1DEAE6FF326226490AD.pem"
"27 Feb 24 18:50 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF32622648FBD.pem"
"28 Feb 24 18:45 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF32622648FDA.pem"
"29 Feb 24 14:53 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF32622648FF3.pem"
"01 Mar 24 14:48 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF3262264900E.pem"
"02 Mar 24 01:13 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF32622649022.pem"
"03 Mar 24 01:08 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF3262264903D.pem"
"06 Mar 24 00:53 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF32622649096.pem"
"07 Mar 24 00:48 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/429C7C70711E3820F0B8E1DEAE6FF326226490DB.pem"
"13 Feb 24 20:00 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/order/663_210J_63"
"14 Feb 24 19:55 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/order/664_210J_63"
"15 Feb 24 19:50 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/order/665_210J_63"
"16 Feb 24 19:45 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/order/666_210J_63"
"17 Feb 24 19:40 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/order/667_210J_63"
"18 Feb 24 19:35 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/order/668_210J_63"
"20 Feb 24 19:25 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/order/670_210J_63"
"21 Feb 24 19:20 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/order/671_210J_63"
"22 Feb 24 19:15 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/order/672_210J_63"
"23 Feb 24 19:10 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/order/673_210J_63"
"24 Feb 24 19:05 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/order/674_210J_63"
"25 Feb 24 19:00 UTC","210J","Sansay Corporation","https://cr.sansay.com/210J/order/675_210J_63"
"26 Feb 24 22:46 UTC","363A","Sansay Corporation","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF32622648FA9.pem"
"27 Feb 24 22:41 UTC","363A","Sansay Corporation","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF32622648FC6.pem"
"28 Feb 24 22:36 UTC","363A","Sansay Corporation","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF32622648FE3.pem"
"29 Feb 24 22:31 UTC","363A","Sansay Corporation","https://cr.sansay.com/363A/429C7C70711E3820F0B8E1DEAE6FF32622649001.pem"
